,# Nodes,# Changes,Time,Iterations
0,20,10,0.4834885597229004,4400
1,40,10,0.7850058078765869,17600
2,60,10,1.0772204399108887,39600
3,80,10,1.5411524772644043,70400
4,100,10,2.039116382598877,110000
5,120,10,2.8054890632629395,158400
6,140,10,3.4979350566864014,215600
7,160,10,4.413937568664551,281600
8,180,10,5.554040431976318,356400
9,200,10,6.803706169128418,440000
10,220,10,9.403180360794067,532400
11,240,10,10.206513404846191,633600
12,260,10,12.18050479888916,743600
13,280,10,14.52639889717102,862400
14,300,10,18.43927550315857,990000
15,320,10,20.865495920181274,1126400
16,340,10,23.253944158554077,1271600
17,360,10,26.704469919204712,1425600
18,380,10,30.672077655792236,1588400
19,400,10,35.06435823440552,1760000
20,420,10,39.35849356651306,1940400
21,440,10,44.33663368225098,2129600
22,460,10,49.563802003860474,2327600
23,480,10,55.728434562683105,2534400
24,500,10,61.82461476325989,2750000
25,520,10,68.46882462501526,2974400
26,540,10,76.20256161689758,3207600
27,560,10,84.09119081497192,3449600
28,580,10,91.37398648262024,3700400
29,600,10,100.63612365722656,3960000
30,620,10,111.89740228652954,4228400
31,640,10,119.92804861068726,4505600
32,660,10,130.2866508960724,4791600
33,680,10,141.19860124588013,5086400
34,700,10,152.43394541740417,5390000
35,20,20,0.781444787979126,8400
36,40,20,1.3312163352966309,33600
37,60,20,2.0583248138427734,75600
38,80,20,2.8290209770202637,134400
39,100,20,3.9313411712646484,210000
40,120,20,5.048024892807007,302400
41,140,20,6.577176332473755,411600
42,160,20,8.404833555221558,537600
43,180,20,10.51164698600769,680400
44,200,20,12.957233190536499,840000
45,220,20,16.35116410255432,1016400
46,240,20,19.523215293884277,1209600
47,260,20,23.505977869033813,1419600
48,280,20,27.57028031349182,1646400
49,300,20,32.802029609680176,1890000
50,320,20,38.03340458869934,2150400
51,340,20,45.31485652923584,2427600
52,360,20,53.16301083564758,2721600
53,380,20,58.21070718765259,3032400
54,400,20,66.9800546169281,3360000
55,420,20,75.53804183006287,3704400
56,440,20,84.76430034637451,4065600
57,460,20,94.40918111801147,4443600
58,480,20,106.0652985572815,4838400
59,500,20,117.85838747024536,5250000
60,520,20,130.64940667152405,5678400
61,540,20,144.99083924293518,6123600
62,560,20,158.58290910720825,6585600
63,580,20,176.8631534576416,7064400
64,600,20,193.64654803276062,7560000
65,620,20,209.38124823570251,8072400
66,640,20,228.41427206993103,8601600
67,660,20,254.5699965953827,9147600
68,680,20,276.2870855331421,9710400
69,700,20,309.0311722755432,10290000
70,20,30,1.111562967300415,12400
71,40,30,1.927396535873413,49600
72,60,30,3.0184762477874756,111600
73,80,30,4.131596088409424,198400
74,100,30,6.3636298179626465,310000
75,120,30,7.407550573348999,446400
76,140,30,9.582311630249023,607600
77,160,30,12.150069236755371,793600
78,180,30,15.433803796768188,1004400
79,200,30,18.812018632888794,1240000
80,220,30,23.56060004234314,1500400
81,240,30,28.24700427055359,1785600
82,260,30,33.807547092437744,2095600
83,280,30,40.55924344062805,2430400
84,300,30,48.15437650680542,2790000
85,320,30,55.72165584564209,3174400
86,340,30,65.52063059806824,3583600
87,360,30,76.37000823020935,4017600
88,380,30,87.73151206970215,4476400
89,400,30,96.93910956382751,4960000
90,420,30,109.17396688461304,5468400
91,440,30,122.91381025314331,6001600
92,460,30,138.09399032592773,6559600
93,480,30,158.11260294914246,7142400
94,500,30,172.02018880844116,7750000
95,520,30,191.0675609111786,8382400
96,540,30,211.69284987449646,9039600
97,560,30,232.6314766407013,9721600
98,580,30,255.20557069778442,10428400
99,600,30,281.34834814071655,11160000
100,620,30,311.42957949638367,11916400
101,640,30,334.3701403141022,12697600
102,660,30,364.70074939727783,13503600
103,680,30,402.54583501815796,14334400
104,700,30,429.4881353378296,15190000
105,20,40,1.4466471672058105,16400
106,40,40,4.25478720664978,65600
107,60,40,7.429202079772949,147600
108,80,40,5.5273730754852295,262400
109,100,40,8.156837224960327,410000
110,120,40,9.737105131149292,590400
111,140,40,16.451253414154053,803600
112,160,40,17.109678745269775,1049600
113,180,40,20.144593715667725,1328400
114,200,40,28.507235050201416,1640000
115,220,40,36.384644985198975,1984400
116,240,40,39.37939786911011,2361600
117,260,40,49.09830379486084,2771600
118,280,40,53.39635348320007,3214400
119,300,40,62.6431086063385,3690000
120,320,40,74.55875563621521,4198400
121,340,40,90.46373844146729,4739600
122,360,40,99.32197737693787,5313600
123,380,40,116.86238598823547,5920400
124,400,40,133.33482599258423,6560000
125,420,40,151.63892078399658,7232400
126,440,40,170.33959031105042,7937600
